,name,tweet,retweets,location,country,created,followers,is_user_verified,vader_sentiment
0,seaniegriff,@superteadrinker @craiguito what’s that all about? A covid symptom?,0,elephant&castle,United Kingdom,30-May-2020,733,False,neutral
1,DCFRowe,@GillianSproule @RobertMiggins Very pleasant on Na h-Eileanan Siar also and you'd be very welcome here post Covid as well. Even more so if you bring your own beers. https://t.co/itjEGkm00r,0,"Na h-Eileanan Siar, Alba ",United Kingdom,30-May-2020,523,False,positive
2,catenjohn,"People seeking asylum don't have enough money to deal with Covid-19. @pritipatel, the crisis isn't paused while you decide whether to help. We need an answer now. #CovidSolidarity https://t.co/vWhIqNrjDg",0,"London, UK",United Kingdom,30-May-2020,183,False,negative
3,reeslegal,@KatyFBrand Personally I just want Govt time focusing on how to help me survive this Covid crisis and not wasting even more time focusing on one dodgy civil servant and his unhealthy obsessive haters.,0,Llanelli ,United Kingdom,30-May-2020,167,False,positive
4,ruthrosenau13,'Something to hide': government accused over Covid-19 tests https://t.co/jD6pzMt1GP,0,Stoke on Trent,United Kingdom,30-May-2020,6269,False,negative
5,charlottehopk1n,"Pre COVID my weekends were packed with activities I didn’t actually want to do, I must continue with lockdown weekends going forward",0,,United Kingdom,30-May-2020,1903,False,positive
6,ruthrosenau13,Covid-19 spreading too fast to lift lockdown in England – Sage advisers https://t.co/nagDYloZc9,0,Stoke on Trent,United Kingdom,30-May-2020,6269,False,neutral
7,iom,"Coronavirus Daily Update: As at 29 May 2020, in the Isle of Man there have been 336 confirmed cases. #coronavirus #iom #coronaupdate https://t.co/WNfsczfk7J",0,Isle of Man,United Kingdom,30-May-2020,4326,False,neutral
8,GaryHooker16,"@Rachelrocket74 I'm doing ok, at least my appointment takes my mind off covid 😉",0,"Lewisham, London",United Kingdom,30-May-2020,272,False,neutral
9,missdavies73,Covid-19 spreading too fast to lift lockdown in England – Sage advisers https://t.co/j2beNZKyFU #healthbeforewealth,0,"England, United Kingdom",United Kingdom,30-May-2020,5529,False,neutral
10,enfaux20,"Thinking ahead about how MH services are gonna struggle because of covid. Not only is loneliness a huge issue in OA, the reduced community contact/lack of community services is causing people to need hospital admission more than ever before... cont",0,"Aberdeen, Scotland",United Kingdom,30-May-2020,136,False,positive
11,thecrispguy,"2 British scientists that sit on the SAGE committee say Italy has 300 cases of Covid 19 a day, Germany have 400 cases a day, but we still have 2000 cases, don’t be too eager to get back to normal unless you want to be 1 of the 2000.......let’s hope number don’t go back up🙏",0,"Warwick, England",United Kingdom,30-May-2020,186,False,positive
12,jackhowson96,"The U.K. need to change the way they are logging COVID deaths. 

When someone dies, the family are given the option of:

A: put COVID as cause of death &amp; get the body straight away. 

B: wait for a test and wait for body to determine cause of death. 

HUNDREDS are choosing opt A.",0,"Greenwich, London",United Kingdom,30-May-2020,1462,False,negative
13,adiskype,"@ChrisMasonBBC 
...and statistics☠️
⬇️
☠️#Covid_19☠️#ThePlague☠️ https://t.co/Mr2UAEPIPL",0,*link*⬆️see me do my music🎶🎸,United Kingdom,30-May-2020,547,False,neutral
14,gardnerneil094,"@ElliotElinor Scientists are very uneasy about Johnson's Gamble. No vaccine, rising amounts flouting rules following ASBO Cummings, huge crowds at beaches, 60,000 covid 19 deaths. World's Press saying UK covid response has been total crap, no wonder scientists are uneasy https://t.co/lp1xqcsYAs",0,"Bradford, England",United Kingdom,30-May-2020,126,False,negative
15,stevejarrett,Lots of good ideas here from across the political spectrum on actions to help during the post-Covid economic recovery in America. Many of these are also applicable around the world. https://t.co/7j6ycCLtly,0,"London, England",United Kingdom,30-May-2020,1672,False,positive
16,SueM76208764,"@JOHN_NEWMAN_FAN @JohnNewmanMusic Unfortunately I never saw you live,but next year I'll see you in Leeds at Millennium Square, yes I have to wait another year due to covid 19 restrictions, but it will be worth the wait,to see one of my favourite artists. 🌞🎶🎤🎸",0,North Yorkshire ,United Kingdom,30-May-2020,135,False,positive
17,EmmaSGarrett,Can @NationalTrustNI advise why there are no options for family members to book visits? Why are there only options for non-member family groups? We’ve continued paying membership through COVID-19 and now can’t visit unless we pay? Everything sold out everywhere. https://t.co/iWHAFJe9EZ https://t.co/OUxWiZo98H,0,Boardmills,United Kingdom,30-May-2020,1679,False,negative
18,gardnerneil094,"@expressionessd1 Scientists are very uneasy about Johnson's Gamble. No vaccine, rising amounts flouting rules following ASBO Cummings, huge crowds at beaches, 60,000 covid 19 deaths. World's Press saying UK covid response has been total crap, no wonder scientists are uneasy https://t.co/0iMlgKwdQv",0,"Bradford, England",United Kingdom,30-May-2020,126,False,negative
19,nikkiy9,"@haro_rebecca @CivMilAir Military police dealt with them, and welsh police looking at beach of Covid!! Best part “I’m alright, I had coding 2 months ago”",0,"Newcastle Upon Tyne, England",United Kingdom,30-May-2020,437,False,positive
20,ShaunMellors,.@GroundUp_News provides a simple and practical overview on how to keep yourself safe as #Covid_19SA lockdown eases. @Yplus_network @PitchZimbabwe @PitchKenya @PitchUganda https://t.co/J9983uxMw6,0,United Kingdom,United Kingdom,30-May-2020,1716,False,positive
21,gomykandasamy,"@ProfKarolSikora you clearly haven’t filled out a death certificate for a while, ‘prof’. This doesn’t even begin to explain the UKs shameful excess death numbers. People are dying of covid or cancer. Sometimes both. Because covid didn’t afford them a chance to seek treatment for their cancer.",0,"London, England",United Kingdom,30-May-2020,149,False,negative
22,HuwMatthews1,"It’s finally happening... This is how it starts. This is how they they take over the world. 🐒 #monkeybusiness 

https://t.co/Zhw16khBr3",0,Manchester,United Kingdom,30-May-2020,244,False,neutral
23,cdrrogers,"@RCoANews ""The impact of #COVID19 on people across the UK has been truly devastating...”
@RCoAPresident on why we welcome a future public inquiry https://t.co/1kxMhXaUjE #Anesthesiology #anesthesiologist #anaesthesia #covid",0,"Warrington, England",United Kingdom,30-May-2020,909,False,positive
24,MartinRaynes,@Hungary_in_UK It is a fascinating city. Or is still two cities. I can’t wait to get back to visit again after the current Covid 19 crisis s over. Best wishes.,0,"Milton Keynes, England",United Kingdom,30-May-2020,104,False,positive
25,Nig_Farmer,"Nigeria will remain poor until we start processing our raw Agric produce than just exporting them 

Industrialization of our Agric is the only money making venture not planting

Due to Covid-19 the price of cocoa has gone down but not price of chocolate.
 We need sensible leaders",4,"Abuja, Nigeria",United Kingdom,30-May-2020,3047,False,negative
26,SkEdwards1056,How many? Did they have cancer but Covid killed them.  How many have died of Covid but are marked down as something. Utter drivel. https://t.co/SasrtkySrI,0,,United Kingdom,30-May-2020,77,False,negative
27,theboot_bible,Just smashed out my Covid Mask! Nailed it! @nikefootball @Nike @mrkimjones #StayAlert #staysafe https://t.co/YDEUExnGL4,0,United Kingdom,United Kingdom,30-May-2020,133,False,neutral
28,grievousangeluk,"“when the UK had fewer than 10 deaths from Covid-19 and less than 500 confirmed cases of coronavirus, the government, informed by Sage, decided to stop all community testing and tracing. The public health community were perplexed.” https://t.co/F9FtB8zQ2Z",0,Liminal space / Sheffield,United Kingdom,30-May-2020,2426,False,negative
29,gardnerneil094,"So scientists are very uneasy about Johnson's Gamble. No vaccine, rising amounts flouting rules following ASBO Cummings, huge crowds at beaches. 60,000 covid 19 deaths. World's Press saying UK covid response has been total crap, no wonder scientists uneasy https://t.co/n4hCcqXHdE",0,"Bradford, England",United Kingdom,30-May-2020,126,False,negative
30,rosail,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if you feel well 🙏. Download the app https://t.co/a9TnIVDSGD",0,North West UK,United Kingdom,30-May-2020,236,False,positive
31,asunisland,"'Something to hide': government accused over Covid-19 tests

https://t.co/2Bsq6NVzHQ",0,England,United Kingdom,30-May-2020,35,False,negative
32,gomykandasamy,"@philiprobinsonn @JeremyFarrar It isn’t. It is well under emergency covid capacity but still well over our normal capacity. At the expense of elective operations and other needed care. Until TTI is in place and working, lockdown is the only answer",0,"London, England",United Kingdom,30-May-2020,149,False,positive
33,LocalGlobalGirl,"As we begin to loosen the lockdown it is important to do so with caution. Stay safe and continue to practice social distancing. To date (May 29), there have been 1,294 confirmed cases and 467 deaths relating to COVID-19 in Bradford District. #Bradford #NHS",0,"Yorkshire, UK (Bronte Country)",United Kingdom,30-May-2020,2142,False,positive
34,SarahIngeParker,It’s the weekend so here are some fantastic rollercoastering teddies to make us smile #covid #lockdown #weekend 😂 https://t.co/Vrt8gnCto2,0,"Henley-on-Thames, England",United Kingdom,30-May-2020,1680,False,positive
35,deborahlayde,@CityBridgeTrust This is trust leadership by a grant funder in times when it is needed most - we have amazing delivery partners supporting #seafarers &amp; this is something our small grants team would love to be able to facilitate as part of our Covid-19 response. Respect to you. 😎,0,UK,United Kingdom,30-May-2020,645,False,positive
