Country Name,Country Code,population
Aruba,ABW,0.105845
Afghanistan,AFG,37.172386
Angola,AGO,30.809762
Albania,ALB,2.866376
Andorra,AND,0.077006
Arab World,ARB,419.790588
United Arab Emirates,ARE,9.630959
Argentina,ARG,44.494502
Armenia,ARM,2.951776
American Samoa,ASM,0.055465
Antigua and Barbuda,ATG,0.096286
Australia,AUS,24.982688
Austria,AUT,8.840521
Azerbaijan,AZE,9.9398
Burundi,BDI,11.175378
Belgium,BEL,11.433256
Benin,BEN,11.485048
Burkina Faso,BFA,19.751535
Bangladesh,BGD,161.356039
Bulgaria,BGR,7.025037
Bahrain,BHR,1.569439
"Bahamas, The",BHS,0.38564
Bosnia and Herzegovina,BIH,3.323929
Belarus,BLR,9.483499
Belize,BLZ,0.383071
Bermuda,BMU,0.063973
Bolivia,BOL,11.353142
Brazil,BRA,209.469333
Barbados,BRB,0.286641
Brunei Darussalam,BRN,0.428962
Bhutan,BTN,0.754394
Botswana,BWA,2.254126
Central African Republic,CAF,4.666377
Canada,CAN,37.057765
Central Europe and the Baltics,CEB,102.511922
Switzerland,CHE,8.513227
Channel Islands,CHI,0.170499
Chile,CHL,18.72916
China,CHN,1392.73
Cote d'Ivoire,CIV,25.069229
Cameroon,CMR,25.216237
"Congo, Dem. Rep.",COD,84.068091
"Congo, Rep.",COG,5.244363
Colombia,COL,49.648685
Comoros,COM,0.832322
Cabo Verde,CPV,0.543767
Costa Rica,CRI,4.999441
Caribbean small states,CSS,7.358965
Cuba,CUB,11.338138
Curacao,CUW,0.1598
Cayman Islands,CYM,0.064174
Cyprus,CYP,1.189265
Czech Republic,CZE,10.629928
Germany,DEU,82.905782
Djibouti,DJI,0.95892
Dominica,DMA,0.071625
Denmark,DNK,5.793636
Dominican Republic,DOM,10.627165
Algeria,DZA,42.228429
East Asia & Pacific (excluding high income),EAP,2081.651801
Early-demographic dividend,EAR,3249.140605
East Asia & Pacific,EAS,2328.22087
Europe & Central Asia (excluding high income),ECA,417.797257
Europe & Central Asia,ECS,918.79359
Ecuador,ECU,17.084357
"Egypt, Arab Rep.",EGY,98.423595
Euro area,EMU,341.783171
Eritrea,ERI,0
Spain,ESP,46.79654
Estonia,EST,1.321977
Ethiopia,ETH,109.224559
European Union,EUU,446.786293
Fragile and conflict affected situations,FCS,743.958386
Finland,FIN,5.515525
Fiji,FJI,0.883483
France,FRA,66.977107
Faroe Islands,FRO,0.048497
"Micronesia, Fed. Sts.",FSM,0.11264
Gabon,GAB,2.119275
United Kingdom,GBR,66.460344
Georgia,GEO,3.726549
Ghana,GHA,29.767108
Gibraltar,GIB,0.033718
Guinea,GIN,12.414318
"Gambia, The",GMB,2.280102
Guinea-Bissau,GNB,1.874309
Equatorial Guinea,GNQ,1.308974
Greece,GRC,10.731726
Grenada,GRD,0.111454
Greenland,GRL,0.056025
Guatemala,GTM,17.247807
Guam,GUM,0.165768
Guyana,GUY,0.779004
High income,HIC,1210.312147
"Hong Kong SAR, China",HKG,7.451
Honduras,HND,9.587522
Heavily indebted poor countries (HIPC),HPC,780.234406
Croatia,HRV,4.087843
Haiti,HTI,11.123176
Hungary,HUN,9.775564
